"[405]450_50-A","[561]610_20-A"
225.759995,2344.649902
1230.890015,753.419983
235.720001,19922.130859
9.130000,614.220032
693.049988,176.610001
373.500000,10213.799805
416.660004,4567.500000
521.239990,19702.890625
617.519958,4263.870117
1059.079956,2285.489990
546.969971,536.789978
555.269958,32.189999
448.199982,292.320007
1552.099976,164.430008
1593.599976,7495.049805
946.199951,3649.649902
441.559998,5520.149902
342.789978,23.490000
192.559998,776.039978
1984.529907,7184.459961
743.679993,57.420002
684.750000,10828.020508
379.309998,586.380005
303.779999,-17.400000
302.949982,1481.609985
803.440002,10686.209961
1371.989990,9786.629883
322.869995,2970.179932
878.139954,528.090027
1185.239990,4433.520020
2699.989990,60.900002
836.639954,4345.649902
687.239990,29798.371094
3041.119873,12899.490234
619.179993,0.000000
1183.579956,3684.449951
747.829956,9639.599609
1592.770020,5947.319824
732.890015,36.540001
1669.130005,5724.600098
468.949982,141.809998
714.630005,20.880001
1513.919922,3931.530029
227.419998,22.620001
424.959991,790.830017
157.699997,9761.400391
394.250000,11245.620117
383.459991,648.150024
548.630005,2061.030029
609.219971,7038.299805
1184.410034,2913.630127
395.910004,50.459999
862.369995,2015.790039
4544.250000,28.710001
561.909973,3859.320068
942.049988,2781.390137
1954.649902,3277.290039
2670.939941,1161.449951
618.349976,19471.470703
1946.349976,25.230000
488.039978,5393.129883
2249.300049,5614.979980
967.779968,24.360001
298.799988,4195.140137
430.769989,1867.020020
443.220001,1370.250000
937.899963,590.729980
1083.979980,5.220000
2052.589844,13.050000
621.669983,2516.909912
864.859985,16871.910156
437.410004,6034.319824
4787.439941,3240.750000
4303.549805,46.110001
1950.500000,24252.121094
1392.739990,98.309998
449.029999,3579.179932
256.470001,746.460022
1236.699951,2551.709961
1970.419922,1471.170044
323.699982,56.549999
412.509979,5971.680176
319.549988,340.170013
2308.229980,4708.439941
490.529999,9517.799805
517.919983,2995.409912
2173.770020,1702.589966
867.349976,2081.040039
582.659973,13725.990234
783.519958,48.720001
843.279968,220.979996
534.520020,94.830002
342.789978,2358.570068
3356.520020,1329.359985
4055.379883,7466.339844
3782.309814,43.500000
2042.630005,-19.139999
4403.979980,11309.129883
732.890015,46.110001
917.149963,965.700012
1830.149902,13.920000
1369.500000,11.310000
2084.959961,19901.250000
2653.510010,6799.049805
418.319977,8996.669922
2060.889893,10303.410156
197.539993,8031.839844
273.899994,6496.290039
1042.479980,1522.500000
2722.399902,5664.569824
3088.429932,3269.459961
310.419983,7073.970215
3922.579834,23292.509766
1621.819946,14167.950195
775.219971,11201.250000
292.160004,10322.549805
660.679993,220.110001
1164.489990,4494.419922
537.010010,3120.689941
97.939995,359.309998
2086.619873,64.379997
601.750000,1847.010010
34.860001,619.440002
1929.750000,3422.580078
746.169983,-6.090000
1207.650024,8382.450195
995.169983,12642.839844
357.729980,14417.639648
340.299988,3700.979980
231.569992,858.690002
1319.699951,61.770000
3049.419922,53.070000
332.000000,5606.280273
1744.659912,7596.839844
1018.409973,53.070000
1402.699951,30.450001
1068.209961,5666.310059
440.729980,6.090000
5051.379883,1165.800049
1301.439941,9891.030273
558.589966,24352.169922
97.110001,2422.080078
857.389954,11863.320312
949.519958,42.630001
1780.349976,34.799999
774.390015,9786.629883
985.209961,14506.379883
430.769989,14123.580078
1137.099976,8004.870117
1111.369995,44.369999
1844.260010,5604.540039
360.220001,2077.560059
479.739990,4.350000
528.709961,53.070000
4809.850098,65.250000
292.989990,2440.350098
307.100006,5385.299805
1119.669922,16.530001
937.899963,6046.500000
868.179993,29910.599609
1850.899902,212.279999
889.760010,1111.859985
723.760010,238.380005
3313.359863,50.459999
827.510010,17563.560547
797.630005,689.039978
297.139984,7053.959961
301.290009,30.450001
3663.619873,18.270000
406.699982,2123.669922
305.440002,-4.350000
1772.049927,9.570000
338.639984,9.570000
557.760010,45.240002
2133.929932,-4.350000
243.190002,1740.000000
3528.329834,34.799999
264.769989,3012.810059
857.389954,56128.921875
366.859985,5255.669922
657.359985,33.060001
2722.399902,60.900002
564.399963,4980.750000
1611.859985,53.939999
304.609985,1644.300049
536.179993,8180.609863
314.570007,8004.000000
1935.559937,2.610000
1676.599976,6330.120117
556.099976,-7.830000
751.149963,55.680000
901.380005,1528.589966
582.659973,2769.209961
1031.689941,13.050000
893.079956,2820.540039
1172.789917,1399.829956
433.259979,9491.700195
1133.780029,-6.090000
1871.649902,5563.649902
810.909973,4933.770020
683.089966,811.710022
4254.580078,25.230000
416.660004,6753.810059
4424.729980,1230.180054
869.839966,32.189999
1419.299927,-4.350000
1817.699951,23533.500000
674.789978,8053.589844
53.950001,3459.120117
215.800003,10326.030273
372.669983,6250.080078
1652.529907,32511.029297
3231.189941,85.260002
640.760010,1832.219971
810.079956,3975.030029
479.739990,7737.780273
483.059998,40.889999
3368.139893,6884.310059
755.299988,2966.699951
210.819992,11252.580078
389.269989,1844.400024
3762.389893,3977.640137
482.229980,12261.780273
412.509979,13142.219727
3637.059814,3314.699951
894.739990,13931.310547
476.419983,5172.149902
2555.570068,24132.929688
2999.619873,26.100000
2338.109863,484.589996
387.609985,5166.060059
1379.459961,9022.770508
347.769989,24259.949219
986.869995,2562.149902
1687.390015,89.610001
1890.739990,10875.870117
1364.520020,9634.379883
605.070007,5133.870117
663.169983,2845.770020
287.179993,3179.850098
1042.479980,1351.979980
1051.609985,4737.149902
358.559998,13.920000
3946.649902,7330.620117
2808.719971,9.570000
355.239990,374.970001
346.109985,6885.180176
2102.389893,108.750000
502.979980,93.090004
1107.219971,-1.740000
427.449982,-40.020000
421.639984,2341.169922
2895.040039,419.339996
460.649994,1480.739990
368.519989,8080.560059
549.459961,22914.929688
2226.889893,5836.830078
338.639984,3689.669922
1084.809937,7501.140137
969.440002,647.280029
2433.560059,2876.219971
624.989990,3683.580078
2963.929932,87.870003
986.869995,11749.349609
796.799988,585.510010
1579.489990,3714.030029
1876.630005,201.839996
595.109985,613.349976
2217.760010,2752.679932
3031.159912,33.060001
782.690002,1211.910034
2570.510010,46.110001
4090.239990,57.420002
908.849976,18.270000
954.500000,29198.070312
774.390015,35625.628906
1299.780029,8616.480469
581.000000,5874.240234
3321.659912,38.279999
