"[405]450_50-A","[561]610_20-A"
4937.669922,21892.679688
1145.400024,66.120003
664.830017,5061.660156
975.250000,76.559998
359.389984,85.260002
342.789978,4420.470215
654.039978,15.660000
1020.899963,1606.020020
2247.639893,1632.989990
649.890015,8.700000
1227.569946,1030.079956
4482.830078,21.750000
177.619995,3323.399902
652.380005,1568.609985
1553.760010,2694.390137
387.609985,8793.089844
565.229980,3260.760010
1692.369995,29.580000
1695.689941,5250.450195
376.820007,4267.350098
434.089996,31.320000
344.449982,248.820007
2802.079834,2871.000000
333.660004,3026.729980
1215.949951,6485.850098
735.380005,3711.419922
435.750000,3598.320068
543.649963,19.139999
1145.400024,3607.020020
4005.579834,12386.190430
3002.109863,45.240002
1039.989990,14000.910156
263.109985,-12.180000
373.500000,2376.840088
648.229980,14.790000
1603.559937,9430.799805
1905.679932,222.720001
2194.520020,4524.000000
1605.219971,7317.569824
1377.799927,770.820007
379.309998,3592.229980
1576.169922,17.400000
2465.099854,421.080017
343.619995,3665.310059
659.849976,2271.570068
335.320007,5185.200195
416.660004,14.790000
1153.699951,181.830002
453.179993,3809.729980
738.700012,8307.629883
1179.429932,3995.909912
944.539978,26.969999
297.139984,4350.870117
1400.209961,-15.660000
1166.150024,-13.050000
3020.369873,2093.219971
389.269989,606.390015
258.130005,7235.790039
4402.319824,47.849998
1976.229980,233.160004
318.720001,147.899994
1558.739990,2094.090088
570.209961,2128.889893
794.309998,5035.560059
341.130005,1352.849976
312.079987,3853.229980
2370.479980,863.910034
1074.020020,4435.260254
315.399994,6425.819824
2915.790039,49230.691406
315.399994,14.790000
4273.669922,2837.939941
770.239990,45.240002
504.639984,13090.889648
837.469971,1332.839966
243.190002,2205.449951
791.820007,16731.839844
613.369995,4155.990234
460.649994,2484.719971
1323.849976,18169.949219
199.199997,4249.950195
1650.869995,5680.229980
1962.119995,9100.200195
641.589966,4527.479980
671.469971,8.700000
570.209961,215.759995
540.330017,1584.270020
526.219971,2841.419922
307.929993,4412.640137
1039.989990,714.270020
2803.739990,25.230000
605.070007,3811.469971
644.909973,79.169998
547.799988,2235.899902
2441.030029,5153.010254
403.380005,3470.429932
1804.419922,1281.510010
2270.879883,2726.580078
444.880005,2263.739990
278.049988,-16.530001
3276.010010,6.960000
2730.699951,43874.968750
263.109985,157.470001
855.729980,2110.620117
638.269958,2534.310059
1453.329956,16690.080078
2964.760010,2117.580078
293.820007,13170.929688
478.079987,1505.969971
1197.689941,15.660000
839.130005,9839.700195
483.889984,20.880001
2626.119873,17319.960938
747.829956,2347.260010
350.259979,-13.050000
506.299988,10371.270508
3594.729980,39.150002
4219.719727,4052.459961
565.229980,9077.580078
1119.669922,1162.319946
281.369995,4347.390137
463.970001,2772.689941
408.359985,683.820007
804.269958,355.830017
583.489990,5237.399902
2246.810059,11470.950195
1285.669922,-5.220000
1267.410034,1615.589966
1584.469971,11899.860352
1503.130005,-10.440001
581.000000,1028.339966
601.750000,628.140015
381.799988,6.960000
721.269958,1.740000
513.770020,1616.459961
2351.389893,7623.810059
3586.429932,29.580000
361.880005,560.280029
458.160004,414.119995
1259.109985,467.190002
638.269958,5010.330078
1817.699951,1127.520020
2402.020020,272.309998
1767.069946,482.850006
550.289978,3477.390137
1088.959961,3493.919922
756.959961,31.320000
419.149994,2564.760010
2860.179932,57.420002
1620.989990,46.980000
317.059998,6922.589844
664.000000,5374.859863
1236.699951,17523.541016
2252.619873,4676.250000
2301.589844,7.830000
2417.790039,776.039978
1087.299927,772.559998
956.989990,2101.919922
1497.319946,14.790000
737.869995,1152.750000
9.960000,-2.610000
1217.609985,2790.090088
865.690002,2749.199951
1054.099976,1311.089966
1054.929932,786.479980
445.709991,6782.520020
419.979980,9064.530273
929.599976,-26.100000
690.559998,6773.819824
1011.769958,12802.919922
1726.400024,1683.449951
985.209961,681.210022
180.110001,258.390015
371.839996,725.580017
564.399963,15861.839844
476.419983,1233.660034
232.399994,16.530001
464.799988,6.960000
858.219971,8456.400391
1477.400024,4099.439941
734.549988,20689.470703
896.399963,35.670002
336.149994,732.539978
423.299988,4182.089844
1699.839966,2837.070068
2126.459961,2378.580078
659.849976,10095.480469
2198.669922,96.570000
323.699982,11.310000
10.790000,12.180000
610.049988,2520.389893
639.099976,104.400002
1689.880005,8293.709961
2110.689941,26.100000
739.529968,38.279999
786.839966,271.440002
692.219971,-10.440001
